,Member Institution,Conference,Division
370,Bellarmine University,Great Lakes Valley Conference,2
371,Belmont Abbey College,Conference Carolinas,2
372,Bemidji State University,Northern Sun Intercollegiate Conference,2
373,Benedict College,Southern Intercol. Ath. Conf.,2
374,Bentley University,Northeast-10 Conference,2
375,Biola University,Pacific West Conference,2
376,Black Hills State University,Rocky Mountain Athletic Conference,2
377,Bloomfield College,Central Atlantic Collegiate Conference,2
378,Bloomsburg University of Pennsylvania,Pennsylvania State Athletic Conference,2
379,Bluefield State College,Independent,2
380,Bowie State University,Central Intercollegiate Athletic Association,2
381,Brevard College,Central Atlantic Collegiate Conference,2
382,Caldwell University,California Collegiate Athletic Association,2
383,"California State Polytechnic University, Pomona",California Collegiate Athletic Association,2
384,"California State University, Chico",California Collegiate Athletic Association,2
385,"California State University, Dominguez Hills",California Collegiate Athletic Association,2
386,"California State University, East Bay",California Collegiate Athletic Association,2
387,"California State University, Los Angeles",California Collegiate Athletic Association,2
388,"California State University, Monterey Bay",California Collegiate Athletic Association,2
389,"California State University, San Bernardino",California Collegiate Athletic Association,2
390,"California State University, San Marcos",California Collegiate Athletic Association,2
391,"California State University, Stanislaus",Pennsylvania State Athletic Conference,2
392,California University of Pennsylvania,Lone Star Conference,2
393,Cameron University,South Atlantic Conference,2
394,Carson-Newman University,South Atlantic Conference,2
395,Catawba College,Great Midwest Athletic Conference,2
396,Cedarville University,Southern Intercol. Ath. Conf.,2
397,Central State University,Great Northwest Athletic Conference,2
398,Central Washington University,Rocky Mountain Athletic Conference,2
399,Chadron State College,Pacific West Conference,2
400,Chaminade University,Central Atlantic Collegiate Conference,2
401,Chestnut Hill College,Conference Carolinas,2
402,Chowan University,Gulf South Conference,2
403,Christian Brothers University,Central Intercollegiate Athletic Association,2
404,Claflin University,Pennsylvania State Athletic Conference,2
405,Clarion University of Pennsylvania,Southern Intercol. Ath. Conf.,2
406,Clark Atlanta University,Peach Belt Conference,2
407,Clayton State University,South Atlantic Conference,2
408,Coker University,City University of New York Athletic Conference,2
409,Colorado Christian University,Rocky Mountain Athletic Conference,2
410,Colorado Mesa University,Rocky Mountain Athletic Conference,2
411,Colorado School of Mines,Rocky Mountain Athletic Conference,2
412,Colorado State University-Pueblo,Rocky Mountain Athletic Conference,2
413,Columbus State University,Peach Belt Conference,2
414,Concord University,Mountain East Conference,2
415,Concordia College (New York),Central Atlantic Collegiate Conference,2
416,Concordia University Irvine,Pacific West Conference,2
